method,amplitude,omega,total_time,resolution,gate_proxy,spectral_error,trace_fidelity
trotter1,0.5,1.0,1.0,2,4,0.8526037174309319,0.7691840480185792
trotter1,0.5,1.0,1.0,4,8,0.39713753468700264,0.9484730959403816
suzuki2,0.5,1.0,1.0,2,6,0.4598845769813759,0.9336059539724648
suzuki2,0.5,1.0,1.0,4,12,0.10059016389748213,0.9967160355202234
cartan_restricted,0.5,1.0,1.0,2,6,1.8707545633145455,0.10026577554543674
cartan_restricted,0.5,1.0,1.0,4,12,1.8700806721364394,0.10026996473937601
lc_qaoa,0.5,1.0,1.0,2,6,1.6688396875469778,0.23076411391761206
lc_qaoa,0.5,1.0,1.0,4,12,0.42307281816556574,0.941836106143714
alt_qaoa_fit,0.5,1.0,1.0,2,4,1.099021942310751,0.6629047175745139
alt_qaoa_fit,0.5,1.0,1.0,4,8,0.5666478840575997,0.9132575865211547
prl_cartan_fit,0.5,1.0,1.0,2,12,1.4551576681539646,0.29037487331647627
prl_cartan_fit,0.5,1.0,1.0,4,24,1.489103176993717,0.291246430435332
cartan_qaoa_fit,0.5,1.0,1.0,2,12,1.4979662785840029,0.29537215683096046
cartan_qaoa_fit,0.5,1.0,1.0,4,24,1.5022016953047572,0.29260733578764414
trotter1,0.5,1.0,2.0,2,4,1.9006764904024598,0.030140362954668178
trotter1,0.5,1.0,2.0,4,8,0.907484832996057,0.753739025153006
suzuki2,0.5,1.0,2.0,2,6,1.9515817921578327,0.016372587170463485
suzuki2,0.5,1.0,2.0,4,12,0.7937791887753864,0.8115468484722727
cartan_restricted,0.5,1.0,2.0,2,6,1.998690357602984,0.00011142096540903035
cartan_restricted,0.5,1.0,2.0,4,12,1.999626162055882,6.004996437249004e-05
lc_qaoa,0.5,1.0,2.0,2,6,1.940018751161819,0.0016005459014917928
lc_qaoa,0.5,1.0,2.0,4,12,1.9910780510090396,0.0024771475950728502
alt_qaoa_fit,0.5,1.0,2.0,2,4,1.938979557646515,0.09318634200301924
alt_qaoa_fit,0.5,1.0,2.0,4,8,1.6663390552602326,0.26318841562207423
prl_cartan_fit,0.5,1.0,2.0,2,12,1.974473135277939,0.016423820692219374
prl_cartan_fit,0.5,1.0,2.0,4,24,1.983836080969527,0.010395918266379218
cartan_qaoa_fit,0.5,1.0,2.0,2,12,1.9814865451131796,0.0131381745865814
cartan_qaoa_fit,0.5,1.0,2.0,4,24,1.974687867307424,0.016878771137428864
trotter1,1.0,1.0,1.0,2,4,0.9101887726944587,0.7803489486390015
trotter1,1.0,1.0,1.0,4,8,0.40673448412544216,0.9554446153187036
suzuki2,1.0,1.0,1.0,2,6,0.6432804949100047,0.8775195292483321
suzuki2,1.0,1.0,1.0,4,12,0.13033368388490787,0.9947666847303419
cartan_restricted,1.0,1.0,1.0,2,6,1.9472902096433455,0.044696551248190886
cartan_restricted,1.0,1.0,1.0,4,12,1.9460592341115972,0.04480841317056164
lc_qaoa,1.0,1.0,1.0,2,6,1.8824095584136695,0.11283893385088915
lc_qaoa,1.0,1.0,1.0,4,12,0.5441690189793824,0.9095490673026454
alt_qaoa_fit,1.0,1.0,1.0,2,4,1.0760653548496353,0.6722034767501553
alt_qaoa_fit,1.0,1.0,1.0,4,8,0.5862370366304229,0.9066584592053339
prl_cartan_fit,1.0,1.0,1.0,2,12,1.5847051491506405,0.18916754935923932
prl_cartan_fit,1.0,1.0,1.0,4,24,1.6050538876807612,0.1843574627611418
cartan_qaoa_fit,1.0,1.0,1.0,2,12,1.5795260654805807,0.19185067551549653
cartan_qaoa_fit,1.0,1.0,1.0,4,24,1.5820606724640642,0.18881840261457372
trotter1,1.0,1.0,2.0,2,4,1.9555905944673668,0.025397772963255637
trotter1,1.0,1.0,2.0,4,8,1.2437042666632696,0.5562152227712762
suzuki2,1.0,1.0,2.0,2,6,1.9408779498004534,0.07251220589411002
suzuki2,1.0,1.0,2.0,4,12,1.1565238548610148,0.6081185951092697
cartan_restricted,1.0,1.0,2.0,2,6,1.9981142614544176,0.007144554014972116
cartan_restricted,1.0,1.0,2.0,4,12,1.9990142898521253,0.007793069930282321
lc_qaoa,1.0,1.0,2.0,2,6,1.9768489884068372,0.012071664914002933
lc_qaoa,1.0,1.0,2.0,4,12,1.9973927616805558,0.00032808059038856043
alt_qaoa_fit,1.0,1.0,2.0,2,4,1.8774515796423767,0.131640692417174
alt_qaoa_fit,1.0,1.0,2.0,4,8,1.8176630501234492,0.14999654857128245
prl_cartan_fit,1.0,1.0,2.0,2,12,1.9996513412715065,0.009236015962843071
prl_cartan_fit,1.0,1.0,2.0,4,24,1.9973138284211276,0.008568675913928311
cartan_qaoa_fit,1.0,1.0,2.0,2,12,1.987512982197272,0.0035855817323663733
cartan_qaoa_fit,1.0,1.0,2.0,4,24,1.997917807656141,0.008514321678817945
