method,n_steps,gate_proxy,spectral_error,trace_fidelity
trotter1,1,2,1.8454922675061758,0.13426217865048104
trotter1,2,4,0.7729331073611754,0.7679495519410015
trotter1,4,8,0.356217581813086,0.9457090326955677
trotter1,8,16,0.17407880624998742,0.986677056433676
suzuki2,1,3,1.5342586959591964,0.37113114737732605
suzuki2,2,6,0.3171773101507999,0.9643897090626836
suzuki2,4,12,0.07303459244068905,0.9980721110095169
suzuki2,8,24,0.017895054587951643,0.9998838983590849
cartan_restricted,1,3,1.7337277869254828,0.20289611368259766
cartan_restricted,2,6,1.7337277869254835,0.20289611368259766
cartan_restricted,4,12,1.7337277869254835,0.20289611368259797
cartan_restricted,8,24,1.733727786925485,0.20289611368259874
lc_qaoa,1,3,1.9984047422215867,0.021539354690599356
lc_qaoa,2,6,1.3467318033917128,0.4525562738420164
lc_qaoa,4,12,0.309085414817661,0.9662547648203671
lc_qaoa,8,24,0.07274514760712854,0.9980918313098945
alt_qaoa_fit,1,2,1.5872143516107768,0.2933145768422299
alt_qaoa_fit,2,4,0.6222733798589832,0.8846923813897629
alt_qaoa_fit,4,8,0.05530564746905786,0.9990602676048475
alt_qaoa_fit,8,16,0.010983695726874743,0.9999643779510077
prl_cartan_fit,1,7,1.7337277875005952,0.20289611341553776
prl_cartan_fit,2,13,1.7337277914478277,0.20289611158258838
prl_cartan_fit,4,25,1.7337277876525472,0.20289611334498023
prl_cartan_fit,8,49,1.7337277850088433,0.20289611457262482
cartan_qaoa_fit,1,7,1.6714490421484383,0.2346413504834547
cartan_qaoa_fit,2,13,1.6714490416047476,0.23464135080755869
cartan_qaoa_fit,4,25,1.6714490411762817,0.23464135106297557
cartan_qaoa_fit,8,49,1.6714490401646676,0.23464135166602146
